"4460-01-443-4895","General Products","Electronic Air Freshener","Refill cartridges for the Optimum 3000 Air Freshener, are 4460-01-443-4896 (Citrus Fragrance) and 4460-01-443-4897 (Potpourri Fragrance) or equal. Optimum 3000, or equal is an air filtration and odor-eliminating unit. Provides the power of HEPA air filtra",270.86,"EA","H"
"4460-01-443-4896","General Products","Air Freshener Cartridge","Air freshener refill cartridge for Optimum 3000, or equal air freshener. Includes a filter.",43.13,"SE","H"
"4460-01-443-4897","General Products","Air Freshener Cartridge","Air freshener refill cartridge for Optimum 3000, or equal air freshener. Includes a filter.",43.13,"SE","H"
"4510-00-203-2707","General Products","Soap Dispenser","Hand-operated dispenser delivers measured amounts of soap. Screws and brackets are included for mounting dispenser on the wall. Liquid soap dispensed using a push-in spring valve (location of valve and dispenser design may vary from picture shown). For us",7.48,"EA","H"
"4510-00-203-2721","General Products","Toilet Paper Holder","Two metal support brackets hold spring-action metal or plastic roller. Brackets conceal mounting hardware. Single-roll dispenser for use in public restrooms includes fasteners for surface mounting.",3.25,"EA","H"
"4510-00-224-8549","General Products","Paper Towel Dispenser","For use with paper towels, (single-fold) 8540-00-262-7178, 8540-01-359-0798, 8540-01-055-6134 and (wide fold) 8540-00-291-0389. Holds 350 single-fold towels measuring 9-1/4 x 5-1/2"" folded. Dispenses individual hand towels easily from bottom slot. The dis",19.41,"EA","H"
"4510-00-247-1370","General Products","Toilet Seat","Open-front, elongated-rim seat fits commercial toilet bowls. Self-sustaining metal hinges hold seat firmly in upright position. Seat does not have a cover. Solid plastic seat has a smooth, glossy surface with plastic bumpers on the underside. Easy-care su",28.84,"EA","H"
"4510-00-595-1785","General Products","Drum Faucet","Self-closing lock lever. Automatically closes when handle is released. Corrosion-resistant barrel faucet without flash screen is not for use with volatile flammable liquids. Has 3/4"" - 14 NPT external threads for attachment; 3/4"" flow outlet. Do not use f",12.11,"EA","H"
"4510-00-752-9065","General Products","Toilet Paper Holder","Stainless steel and plastic cabinet has a satin finish. Holds three rolls. Surface mount and locking closure, for vertical mounting. Includes fasteners. Cabinet houses 1,000-sheet rolls of toilet paper, which are dispensed from spools. Concealed supply ro",176.99,"EA","H"
"4510-01-327-9405","General Products","Toilet Seat Cover Dispenser","For dispensing quarter-fold paper toilet seat covers. Plastic cabinet mounts on a vertical surface. For use with Toilet Seat Cover NSN 8540-00-965-5790.",8.26,"EA","H"
"4510-01-426-4187","General Products","Deodorant Dispenser","For use with air freshener refills NSNs: 6840-01-368-4785, 6840-01-368-4787, 6840-01-368-4789, 6840-01-425-8232, 6840-01-429-5864 and 6840-01-459-8263. Aerosol dispenser automatically controls odors and freshens air with three operation settings; day, nig",43.78,"EA","H"
"4510-01-441-2117","General Products","Soap Dispenser","Compatibile for use with 8520-01-425-5328. Stainless steel pump with a four-position stroke adjustment to control the amount of soap being dispensed. The pump can be operated with hands, elbow, or forearms. Aluminum soap dispenser has reinforced nylon and",51.83,"EA","H"
"4510-01-480-1323","Office Supplies & Paper Special Order","Piddle Pak","Disposable ""unisex"" mil-spec vinyl relief bags are compact, lightweight and easily stored. Leak-proof with airtight sealing system that traps waste and odor, bag contains hydrophilic granulated powder. Individually poly bagged with moist towelette.",605.58,"BX","H"
"4510-01-521-9866","General Products","Soap Dispenser","Wall mounted hand sanitizer dispenser accepts 1000-mL Gojo Purell/SKILCRAFT hand sanitizer refills. One hand push operations and portion control. For use with NSNs 8520-01-522-0828, 8520-01-5622-0840 and 8520-01-522-3888.",16.5,"EA","H"
"4510-01-521-9867","General Products","Soap Dispenser","Wall-mounted lotion soap and shampoo dispenser accepts 800-mL Gojo lotion soap and shampoo refills. One hand push operation and portion control. For use with NSNs 8520-01-378-3090, and 8520-01-522-0836.",195.03,"BX","H"
"4510-01-521-9868","General Products","Soap Dispenser","For multi-pack of 12 each, order NSN 4510-01-521-9867. Wall mounted lotion soap and shampoo dispenser accepts 800-mL Gojo lotion soap and shampoo refills. One hand push operation and portion control. For use with 8520-01-378-3090 and 8520-01-522-0836.",18,"EA","H"
"4510-01-521-9869","General Products","Soap Dispenser","Wall mounted lotion soap and shampoo dispenser accepts 1000-mL Gojo lotion soap and shampoo refills. One hand push operation and portion control. For use with 8520-01-522-0833 and 8520-01-522-0838.",97.51,"BX","H"
"4510-01-521-9870","General Products","Soap Dispenser","Wall mounted hand sanitizer dispenser accepts 1000-mL Gojo Purell/SKILCRAFT hand sanitizer refills.  One hand push operation and portion control.  For use with NSNs 8520-01-522-0828, 8520-01-522-0840 and 8520-01-522-3888.",97.51,"BX","H"
"4510-01-521-9871","General Products","Soap Dispenser","For multi-pack of eight each, order NSN 4510-01-521-9873. Wall mounted lotion soap and shampoo dispenser accepts 2000-mL Gojo lotion soap and shampoo refills.  One hand push operation and portion control. For use with 8520-01-522-0832 and 8520-01-522-0837",18,"EA","H"
"4510-01-521-9872","General Products","Soap Dispenser","For multi-pack of six each, order NSN 4510-01-521-9869. Wall mounted lotion soap and shampoo dispenser accepts 1000-mL Gojo lotion soap and shampoo refills. One hand push operation and portion control. For use with 8520-01-522-0833 and 8520-01-522-0838.",16.5,"EA","H"
"4510-01-521-9873","General Products","Soap Dispenser","Wall mounted lotion soap and shampoo dispenser accepts 2000-mL Gojo lotion soap and shampoo refills.  One hand push operation and portion control. For use with 8520-01-522-0832 and 8520-01-522-0837.",135.02,"BX","H"
"4510-01-551-1194","General Products","Foam Soap Dispenser","Wall mounted foam soap dispenser made of ABS plastic with a sight window to indicate when dispenser is empty. Reservoir can be removed for easy cleaning. Mounts on wall with adhesive backing or screws (not included). Unique foam pump prevents leaks and dr",39.25,"EA","H"
"4510-01-551-2864","General Products","Foam Soap Dispenser","Wall dispenser accepts 1250-mL Gojo foam soap refill pouches. One hand push operation and portion control. For use with refill pouch NSNs 8520-01-556-2576 and 8520-01-556-2577.",89.92,"BX","H"
"4510-01-551-2865","General Products","Foam Soap Dispenser","Wall dispenser accepts 1250-mL Gojo foam soap refill pouches. One hand push operation and portion control. For use with refill pouch NSNs 8520-01-556-2576 and 8520-01-556-2577.",16.01,"EA","H"
"4510-01-551-2866","General Products","Hand Foam Dispenser","Wall mounted hand sanitizer dispenser accepts 1200-mL Gojo foaming hand sanitizer refills. One hand push operation and portion control. For use with NSN 8520-01-556-2834.",89.92,"BX","H"
"4510-01-551-2867","General Products","Hand Foam Dispenser","Wall mounted hand sanitizer dispenser accepts 1200-mL Gojo foaming hand sanitizer refills. One hand push operation and portion control. For use with NSN 8520-01-556-2834.",16.01,"EA","H"
"4520-00-540-2038","General Products","Space Heater","Fan operates on 240V AC power; 3000w produces 10,200 BTU per hour. Adjustable automatic thermostat control ranges from 45 to 120° F. Includes a three-prong plug and a minimum five-foot-long, 20-amp rated plug and cord. Heater does not include a tip-over s",104.08,"EA","H"
"4520-00-555-8696","General Products","Space Heater","Fan operates on 120V AC power. In the event that the unit is tipped over, an automatic switch immediately turns the unit off. Includes a three-prong plug and a minimum five-foot-long, 15-amp rated plug and cord. (Product dimensions may vary by manufacture",48.89,"EA","H"
"4520-00-865-5939","General Products","Space Heater","Fan operates on 120V AC, 1000w power. In the event that the unit is tipped over, an automatic switch immediately turns the unit off. Includes a three-prong plug and a minimum five-foot-long, 15-amp rated plug and cord. (Product dimensions may vary by manu",84.73,"EA","H"
"4720-01-447-8757","General Products","Garden Hose","Commercial-grade, rubber/vinyl-reinforced 5/8"" diameter garden hose. Kink-resistant hose includes brass couplings, a protective collar at faucet end, and an abrasion-resistant gray cover. Burst strength is 500 psi with a minimum four-ply construction.",38.72,"LG","H"
"4720-01-447-8759","General Products","Garden Hose","Commercial-grade, rubber/vinyl-reinforced 5/8"" diameter garden hose. Kink-resistant hose includes brass couplings, a protective collar at faucet end, and an abrasion-resistant gray cover. Burst strength is 500 psi with a minimum four-ply construction.",23.69,"LG","H"
"4730-01-385-7313","General Products","Spray Nozzle","Acuity Specialty Products ZEP P/N 826601, or equal (Conquer Spray Head). Polyvinyl chloride plastic spray nozzle is designed for spraying a fine mist or solid stream of liquid in a round pattern. Fits ZEP or equal pint or quart bottles.",2.28,"EA","H"
"4920-01-569-3630","General Products","Plastic Polish Kit","Plastek LLC, EZCLEAR Acrylic Window Repair (Hangar Style Launch KIT). P/N EZ2050B-1. Kit Contains: 1 Training DVD; 2 Re-stocking sheet; 1 MSDS pack; 1 Instruction manual; 1 Overview card; 1 Interior instruction card; 10 Master Clear Detailer Paks; 2 bottl",4239.56,"KT","H"
"4920-01-569-3632","General Products","Plastic Polish Kit","Plastek LLC, EZCLEAR Acrylic Window Repair (Field Style Launch KIT). P/N EZ4065B. Kit Contains: 1 Training DVD; 5 Master Clear Detailer Paks; 2 bottles Interior Polish, 2 oz each; 1 Interior Cloth Canister; 1 Interior Repair Pad; 1 SM Hand Support Disc; 1",3900.12,"KT","H"
"4920-01-569-3634","General Products","Plastic Polish Kit","Plastek LLC,  EZCLEAR Acrylic Window Repair (Hanger Style Launch KIT) P/N EZ2050D. Kit Contains: I Training DVD; 1 Instruction Manual:  2 bottles Interior Polish, 2 oz each; 1 Interior Cloth Canister; 1 Interior Repair Pad; 4 bottles Principle Polish, 6oz",5221.69,"KT","H"
"4940-00-803-6444","General Products","Spray Kit","Non-flammable spray kit can be used to aerosolize almost any liquid. Kit allows you to paint or touch up surfaces with custom color paint or stain. Kit consist of 4 spray nozzles, 4 product jars, 20 dip tubes and 10 propellant (134A) power packs.",120.55,"KT","H"
"4940-01-490-2455","General Products","Drip Pan","Superflex drip pans are made of double fiber woven reinforced rubber for maximum strength and durability. Drip pan is crack and crush-proof. Oil resistant polyethylene resin, Molybdenum disulfide coated.",143.04,"PG","H"
"4940-01-490-2463","General Products","Drip Pan","Superflex drip pans are made of double fiber woven reinforced rubber for maximum strength and durability. Drip pan is crack and crush-proof. Oil resistant polyethylene resin, Molybdenum disulfide coated.",279.55,"PG","H"
"4940-01-490-2470","General Products","Drip Pan","Superflex drip pans are made of double fiber woven reinforced rubber for maximum strength and durability. Drip pan is crack and crush-proof. Oil resistant polyethylene resin, Molybdenum disulfide coated.",347.01,"PG","H"
"4940-01-504-5270","General Products","Drip Pan With Chain","Includes a 6 foot chain with eyelet for attaching pan to equipment. Superflex drip pans are made of double fiber woven reinforced rubber for maximum strength and durability. Drip pan is crack and crush-proof. Oil resistant polyethylene resin, Molybdenum d",169.9,"PG","H"
"4940-01-504-5273","General Products","Drip Pan With Chain","Includes a 6 foot chain with eyelet for attaching pan to equipment. Superflex drip pans are made of double fiber woven reinforced rubber for maximum strength and durability. Drip pan is crack and crush-proof. Oil resistant polyethylene resin, Molybdenum d",380.78,"PG","H"
